word,translation,last_try,created,success,fail
nouvelle année,새해,,2025-03-26 16:23:00,0,0
obtenir un emploi,취직하다,,2025-03-24 20:22:30,0,0
ou,또는,,2025-03-25 21:01:53,0,0
ouverture,시작,,2025-03-25 21:50:20,0,0
par quelqu'un,한테,,2025-03-25 20:54:22,0,0
par quelqu'un,에게,,2025-03-25 21:14:08,0,0
pareil,같다,,2025-03-26 16:18:48,0,0
parfois,가끔,,2025-03-25 20:58:54,0,0
pas savoir,모르다,,2025-03-24 20:27:23,0,0
patient,환자,,2025-03-25 21:24:59,0,0
payer,내다,,2025-03-26 16:10:19,0,0
pays natal,고향,,2025-03-25 21:47:21,0,0
porter,쓰다,,2025-03-25 21:17:46,0,0
produit de beauté,화장품,,2025-03-25 21:42:57,0,0
prononciation,발음,,2025-03-24 20:21:39,0,0
préparation,준비,,2025-03-25 21:14:31,0,0
quitter le bureau,퇴근,,2025-03-25 21:21:00,0,0
relativement,꽤,,2025-03-25 21:33:59,0,0
rendez-vous,약속,,2025-03-25 15:44:15,0,0
renommé connue,유명,2025-03-24 17:26:56,2025-03-24 17:04:05,0,1
reçu,영준중,,2025-03-25 20:55:47,0,0
sans réfléchir,함부로,,2025-03-26 16:20:58,0,0
se couvrir,쓰다,,2025-03-25 21:18:30,0,0
se séparer de qn / qc,헤어지다,,2025-03-25 21:44:21,0,0
signification,뜻,,2025-03-26 16:04:28,0,0
siège non fumeur,금연석,,2025-03-26 16:13:13,0,0
sortir,나가다,,2025-03-25 21:00:40,0,0
sortir de,나오다,,2025-03-24 20:02:31,0,0
spécial,특,,2025-03-24 20:26:06,0,0
table,테이블,,2025-03-13 15:44:40,0,0
tard,늦게,,2025-03-25 20:56:52,0,0
théâtre,극장,,2025-03-24 20:03:03,0,0
tomber,내리다,,2025-03-25 21:29:47,0,0
toujours,항상,,2025-03-24 20:19:53,0,0
toujours,언제나,,2025-03-24 20:13:20,0,0
toujours,늘,,2025-03-25 21:28:09,0,0
tous les jours,날마다,,2025-03-25 21:36:15,0,0
tous les jours,매일,,2025-03-25 21:35:59,0,0
tout de même,그래도,,2025-03-25 21:17:00,0,0
tout à l'heure,아까,,2025-03-24 20:07:31,0,0
tâches ménagères,집안일,,2025-03-25 21:22:36,0,0
un instant,잠깐,,2025-03-25 21:40:53,0,0
uniform scolaire,교복,,2025-03-24 17:11:58,0,0
utilisation,사용,,2025-03-25 21:01:18,0,0
utilisation,이용,,2025-03-25 21:26:40,0,0
venir,내리다,,2025-03-25 21:30:28,0,0
ville natale,고향,,2025-03-25 21:47:31,0,0
zone,구역,,2025-03-26 16:04:03,0,0
à destination de (particule),으로 (particule),,2025-03-25 21:12:41,0,0
à l'exception de,말고,,2025-03-25 21:21:45,0,0
à l'instant,금방,,2025-03-24 20:25:02,0,0
écrire,쓰다,,2025-03-25 21:17:34,0,0
époux,남편,,2025-03-25 21:01:31,0,0
être,계시다,,2025-03-25 21:37:20,0,0
être different,다르다,,2025-03-24 17:06:24,0,0
être écrit,쓰이다,,2025-03-26 16:08:23,0,0
